"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"Wendell Willkie","Republican","Indiana","Charles L McNary",0,322123,40.6,1940,"Washington_(state)","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Washington_(state)",140022,8,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",8,486774,56.8,1944,"Washington_(state)","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Washington_(state)",125085,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,361689,42.2,1944,"Washington_(state)","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Washington_(state)",125085,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Harry S Truman","Democratic","Missouri","Alben W Barkley",8,476165,52.6,1948,"Washington_(state)","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Washington_(state)",89850,8,"Harry S Truman","Harry S Truman",111495
"Thomas Dewey","Republican","New York","Earl Warren",0,386315,42.7,1948,"Washington_(state)","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Washington_(state)",89850,8,"Harry S Truman","Harry S Truman",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",9,599107,54.3,1952,"Washington_(state)","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Washington_(state)",106262,9,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,492845,44.7,1952,"Washington_(state)","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Washington_(state)",106262,9,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",9,620430,53.9,1956,"Washington_(state)","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Washington_(state)",97428,9,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,523002,45.44,1956,"Washington_(state)","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Washington_(state)",97428,9,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",9,629273,50.7,1960,"Washington_(state)","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Washington_(state)",29975,9,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,599298,48.3,1960,"Washington_(state)","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Washington_(state)",29975,9,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",9,779881,61.9,1964,"Washington_(state)","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Washington_(state)",309515,9,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,470366,37.4,1964,"Washington_(state)","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Washington_(state)",309515,9,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",9,616037,47.23,1968,"Washington_(state)","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Washington_(state)",27527,9,"Richard Nixon","Hubert Humphrey",266590
"Richard Nixon","Republican","New York","Spiro Agnew",0,588510,45.12,1968,"Washington_(state)","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Washington_(state)",27527,9,"Richard Nixon","Hubert Humphrey",266590
"George Wallace","American","Alabama","Marvin Griffin",0,96990,7.44,1968,"Washington_(state)","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Washington_(state)",27527,9,"Richard Nixon","Hubert Humphrey",266590
"Richard Nixon","Republican","California","Spiro Agnew",9,837135,56.9,1972,"Washington_(state)","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Washington_(state)",268801,9,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,568334,38.6,1972,"Washington_(state)","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Washington_(state)",268801,9,"Richard Nixon","Richard Nixon",6349532
"Gerald Ford","Republican","Michigan","Bob Dole",8,777732,50,1976,"Washington_(state)","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Washington_(state)",60409,17,"Jimmy Carter","Jimmy Carter",45716
"Jimmy Carter","Democratic","Georgia","Walter Mondale",9,717323,46.11,1976,"Washington_(state)","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Washington_(state)",60409,17,"Jimmy Carter","Jimmy Carter",45716
"Ronald Reagan","Republican","California","George H W Bush",9,865244,49.66,1980,"Washington_(state)","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Washington_(state)",215051,9,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,650193,37.32,1980,"Washington_(state)","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Washington_(state)",215051,9,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,185073,10.62,1980,"Washington_(state)","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Washington_(state)",215051,9,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",10,1051670,55.82,1984,"Washington_(state)","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Washington_(state)",244318,10,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,807352,42.86,1984,"Washington_(state)","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Washington_(state)",244318,10,"Ronald Reagan","Ronald Reagan",5351583
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",10,933516,50.05,1988,"Washington_(state)","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Washington_(state)",29681,10,"George H W Bush","Michael Dukakis",1098368
"George H W Bush","Republican","Texas","Dan Quayle",0,903835,48.46,1988,"Washington_(state)","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Washington_(state)",29681,10,"George H W Bush","Michael Dukakis",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",11,993037,43.41,1992,"Washington_(state)","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Washington_(state)",261803,11,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,731234,31.97,1992,"Washington_(state)","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Washington_(state)",261803,11,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,541780,23.68,1992,"Washington_(state)","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Washington_(state)",261803,11,"Bill Clinton","Bill Clinton",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",11,1123323,49.84,1996,"Washington_(state)","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Washington_(state)",282611,11,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,840712,37.3,1996,"Washington_(state)","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Washington_(state)",282611,11,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Reform","Texas","Patrick Choate",0,201003,8.92,1996,"Washington_(state)","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Washington_(state)",282611,11,"Bill Clinton","Bill Clinton",1151013
"Al Gore","Democratic","Tennessee","Joe Lieberman",11,1247652,50.16,2000,"Washington_(state)","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Washington_(state)",138788,11,"George W Bush","Al Gore",537
"George W Bush","Republican","Texas","Dick Cheney",0,1108864,44.58,2000,"Washington_(state)","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Washington_(state)",138788,11,"George W Bush","Al Gore",537
"John Kerry","Democratic","Massachusetts","John Edwards",11,1510201,52.82,2004,"Washington_(state)","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Washington_(state)",205307,11,"George W Bush","John Kerry",115570
"George W Bush","Republican","Texas","Dick Cheney",0,1304894,45.64,2004,"Washington_(state)","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Washington_(state)",205307,11,"George W Bush","John Kerry",115570
"Barack Obama","Democratic","Illinois","Joe Biden",11,1750848,57.34,2008,"Washington_(state)","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Washington_(state)",521632,11,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,1229216,40.26,2008,"Washington_(state)","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Washington_(state)",521632,11,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",12,1755396,56.16,2012,"Washington_(state)","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Washington_(state)",464726,12,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,1290670,41.29,2012,"Washington_(state)","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Washington_(state)",464726,12,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",8,1742718,54.3,2016,"Washington_(state)","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Washington_(state)",520971,8,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,1221747,38.07,2016,"Washington_(state)","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Washington_(state)",520971,8,"Donald Trump","Hillary Clinton",77744
"Gary Johnson","Libertarian","New Mexico","Bill Weld",0,160879,5.01,2016,"Washington_(state)","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Washington_(state)",520971,8,"Donald Trump","Hillary Clinton",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",8,282007,55.3,1920,"West_Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_West_Virginia",61218,8,"Warren G Harding","Warren G Harding",1291746
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",0,220789,43.3,1920,"West_Virginia","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_West_Virginia",61218,8,"Warren G Harding","Warren G Harding",1291746
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",8,288635,49.45,1924,"West_Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_West_Virginia",31403,8,"Calvin Coolidge","Calvin Coolidge",775520
"John W Davis","Democratic","West Virginia","Charles W Bryan",0,257232,44.07,1924,"West_Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_West_Virginia",31403,8,"Calvin Coolidge","Calvin Coolidge",775520
"Robert M La Follette","Farmer Labor","Wisconsin","Burton K Wheeler",0,36723,6.29,1924,"West_Virginia","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_West_Virginia",31403,8,"Calvin Coolidge","Calvin Coolidge",775520
"Herbert Hoover","Republican","California","Charles Curtis",8,375551,58.43,1928,"West_Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_West_Virginia",111767,8,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph T Robinson",0,263784,41.04,1928,"West_Virginia","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_West_Virginia",111767,8,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",8,405124,54.5,1932,"West_Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_West_Virginia",74393,8,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,330731,44.5,1932,"West_Virginia","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_West_Virginia",74393,8,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",8,502582,60.6,1936,"West_Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_West_Virginia",177224,8,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,325358,39.2,1936,"West_Virginia","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_West_Virginia",177224,8,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",8,495662,57.1,1940,"West_Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_West_Virginia",123248,8,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","Indiana","Charles L McNary",0,372414,42.9,1940,"West_Virginia","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_West_Virginia",123248,8,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",8,392777,54.89,1944,"West_Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_West_Virginia",69958,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,322819,45.11,1944,"West_Virginia","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_West_Virginia",69958,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Harry S Truman","Democratic","Missouri","Alben W Barkley",8,429188,57.3,1948,"West_Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_West_Virginia",112937,8,"Harry S Truman","Harry S Truman",111495
"Thomas Dewey","Republican","New York","Earl Warren",0,316251,42.2,1948,"West_Virginia","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_West_Virginia",112937,8,"Harry S Truman","Harry S Truman",111495
"Adlai Stevenson","Democratic","Illinois","John Sparkman",8,453578,51.9,1952,"West_Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_West_Virginia",33608,8,"Dwight D Eisenhower","Adlai Stevenson",1488890
"Dwight D Eisenhower","Republican","New York","Richard Nixon",0,419970,48.1,1952,"West_Virginia","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_West_Virginia",33608,8,"Dwight D Eisenhower","Adlai Stevenson",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",8,449297,54.1,1956,"West_Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_West_Virginia",67763,8,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,381534,45.9,1956,"West_Virginia","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_West_Virginia",67763,8,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",8,441786,52.7,1960,"West_Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_West_Virginia",45791,8,"John F Kennedy","John F Kennedy",22724.0000000001
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",0,395995,47.3,1960,"West_Virginia","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_West_Virginia",45791,8,"John F Kennedy","John F Kennedy",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",7,538087,67.9,1964,"West_Virginia","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_West_Virginia",284134,7,"Lyndon B Johnson","Lyndon B Johnson",4118457
